openness_1,conscientiousness_1,extroversion_1,agreeableness_1,neuroticism_1,anxietybasedperformancedeficits_1,exaggeratedsafetybehavior_1,hostilebehaviors_1,Gender_1,Age_1,violations_1
5,3,3,5,3,3.14,4,3.14,2,1,2
6.33,4.33,4.33,2.67,3.33,3.29,3.57,4.43,1,3,2
1.67,3.67,2.67,3.33,3,1.71,2.14,2,1,1,1
2,3,3,3.67,3.33,1.86,2.14,2.57,1,2,2
6.33,6,5.33,2.67,1,1.71,3.71,3.29,1,1,2
1.33,2.67,3,3.33,2.67,1.29,1.43,1.43,1,1,1
6.33,2,3.33,3.33,4.67,3.43,4,4,1,1,1
3.67,3.33,2.67,2.67,2.67,3.29,3.71,4.71,1,1,1
1.67,3,3,3.33,3,1.29,1.71,2,2,1,1
5.67,5.67,2.33,5,5,2.43,3,5.57,2,1,1
5.67,4.67,4.33,4.67,4.67,4.29,5,5,1,1,2
3.67,2,5,3.67,1,2.57,3.57,6.14,1,2,2
6,3,3.67,3,2.67,3,3.86,3.71,1,1,1
1.67,3,3.33,3.33,3,1.29,1.57,1.57,2,1,2
4,2.33,6.67,5,3.67,2.43,2.86,3.14,2,1,1
1.67,3,3.33,3.33,3,4.29,4.29,4,2,1,2
3.67,5,3,3.67,5.33,4.86,4,4.14,1,1,1
4,3.67,4.33,3.67,3.33,3.29,3.71,4.43,2,1,2
1.67,3,3,3.33,3,1.71,1.86,2.57,2,1,1
2,3.33,3.33,3.33,3.33,2.14,2,1.86,1,3,2
3,3.67,6.33,5,2.67,4.57,3.71,3.57,1,1,2
1.7,2.8,2.4,2.3,5.2,6.1,4.2,6.2,1,1,2
4.67,4.33,1.67,4.67,5.67,1.86,2.29,2.43,2,1,1
1.33,4.67,3.33,4.67,3,1,2.43,2.14,1,2,1
6.67,4.67,5.33,4,1.67,1.29,2.71,4.14,2,1,2
4,5,3.33,4,3.33,2.57,4.71,2.86,2,2,2
3.4,1.5,3,2.6,3.8,5.8,6.6,5.8,2,1,2
3.2,2.7,2.6,3.1,6.5,4.7,5.2,3.5,1,3,2
2,1.4,1.7,1.2,3.5,6.3,4.5,5.2,2,2,2
1.1,3,3.2,1.7,5.6,4.4,6.4,6.9,2,3,2
2.7,2.6,2.1,3.4,6.7,5.3,4.1,4.1,1,1,2
3.3,1.6,1.8,2.5,4.9,3.8,6.8,3.5,2,2,2
1.6,1.1,3.4,1.6,3.7,4.6,5.6,5.4,1,3,2
1.4,1.9,2.5,2.2,5.1,6.2,3.5,4.6,1,2,2
2.8,1.2,1.4,3.5,6,3.7,5.8,6.4,2,1,2
3,1.3,3.5,1.1,4.8,5.6,4.7,3.7,2,3,2
1.2,1,2.9,2.9,3.6,4.3,6.7,6.6,1,1,2
3.5,2.2,1.9,1.8,5.4,6.7,3.5,4.5,2,2,2
1.3,3.5,3.1,3.3,6.4,3.6,6.2,5.9,1,1,2
1.9,2.9,2.8,2,3.9,4.9,4.6,3.5,2,3,2
3.1,2.4,1.3,1.3,6.8,6.6,5.3,6.8,1,2,2
2.4,2.3,3,3.2,4.3,5.1,6.5,4,1,3,2
2.5,2,2.7,2.1,5.3,3.5,3.6,5.6,2,1,2
3.5,3.2,1.2,1.5,4.7,6.4,4.3,3.8,2,2,2
2.2,2.5,3.3,2.4,6.6,4.1,6.1,6.1,1,3,2
1,3.4,2.6,3.5,3.5,5.9,3.5,5.3,2,2,2
2.3,1.8,1.7,1,5.7,4,5.1,3.5,2,1,2
1.9,2.3,3.4,1.1,4.8,5.3,5.8,6.6,1,3,2
1,2,2.5,2,6.4,4.6,4.7,4.5,2,2,2
3.5,3.2,1.4,1.5,5.4,6.2,6.7,5.9,2,1,2
2.3,2.5,3.5,2.4,3.6,3.7,3.5,3.5,1,3,2
2.2,2.3,2.4,3.5,6.8,5.6,6.5,6.8,1,3,2
4.7,5.2,4.8,6.3,2.7,2.9,1.5,3.1,2,2,1
6.8,4.3,6.2,4.5,2.1,1.8,1.9,2.5,1,1,1
4.9,6.9,3.7,6.7,2.9,1.3,2.7,1.5,2,3,1
6.2,6.4,5.4,5.4,2.5,2.1,3,2.3,2,1,1
3.8,4.7,6.5,3.5,2.3,2.8,2.3,1.8,1,3,1
3.5,5.6,5.6,3.5,3.2,2.7,2.6,1.5,1,2,1
4.9,6.4,3.8,5.8,2,1.4,1.7,2.5,2,3,1
6.6,3.9,4.7,6.3,1.1,3,3.2,3.3,2,1,1
4.6,6.6,6.2,4.6,2.7,2.6,2.1,1.6,1,2,1
6.1,5.3,4.6,6.9,3.3,1.6,1.8,3.4,2,3,1
3.5,3.5,5.9,5.6,2.4,2.3,3,2.9,1,1,1
6.5,5.8,6.3,4.3,2.5,2,2.7,1.7,2,2,1
5.9,4.8,4.8,6.4,3.5,3.2,1.2,3,2,3,1
7,5,3,5,3,2.57,5.43,2.86,1,1,2
1.67,3,5.33,3,3,1.43,1.57,1.86,1,1,1
5.67,4,3.67,4.67,4,2.86,3.43,3.57,1,1,2
5.33,3.33,3.33,5,3.67,3.43,4.71,4.57,2,1,2
6,3.33,3.67,3.33,4.33,3,3.71,4.43,2,2,1
1,5,3,5,5,3.71,3,2.71,1,3,2
1.33,3.33,3,3.33,3,1.86,1.71,2,2,1,2
1,3,3,3,3,1.71,1.86,2,2,2,2
4.3,4.2,6.8,6.2,2.1,1.5,1.4,1.6,2,3,1
6.9,6.9,4,3.8,3.4,2.7,3.5,3.4,1,1,1
4.7,3.8,5.4,5.5,1.2,3.3,2.9,2.3,2,2,1
5.8,6.7,3.5,6.3,1.5,1.4,1.9,1.5,1,3,1
3.5,4.9,6.5,3.5,2,3,3.1,2.2,1,2,1
4.9,6.2,4.2,5.4,3.3,2.8,2.8,2.6,2,1,1
6.6,3.9,6.3,6.5,2.7,1.6,1.3,3,1,3,1
4.6,6.6,5.7,4.2,1.1,1.1,3,2.3,2,1,1
6.1,5.3,4.6,3.5,3.2,1.9,2.7,1.4,2,2,1
5.6,4.3,3.5,6.9,2.6,1.2,1.2,2.5,1,1,1
4.2,6.8,6.2,4.7,2.8,1.3,3.3,1.2,1,3,1
6.3,5.6,4.5,5.7,1.6,1,2.6,2.1,2,2,1
3.5,4.7,5.8,4.8,1.3,2.2,1.7,3.2,2,3,1
5.7,6.4,3.7,6.1,2.4,3.5,3.2,1.7,1,1,1
6,3.5,6,3.7,3.1,2.9,2.1,3.1,2,2,1
4,5.9,4.7,5.8,3.5,2.4,1.8,2.6,1,3,1
6.7,4.5,3.5,4.6,1.9,2.3,3.4,1.3,1,2,1
5.3,6.1,5.6,6.3,1,2,2.5,3.5,2,1,1
3.5,5.8,6.9,3.5,3.5,3.2,1.4,2,2,3,1
6.5,4.8,4.3,6.7,2.3,2.5,3.5,1.1,1,3,1
5.9,6.5,6.6,4,2.2,2.3,2.4,2.9,1,2,1
4.5,4.5,5.3,6.6,2.2,3.1,3,1.7,2,1,1
3.1,1.5,2.9,1.7,6.2,4.2,6.2,6.1,1,3,2
2.5,1.9,1.8,1.5,4.3,4.9,3.8,4.2,2,1,2
1.5,2.7,1.3,2.1,6.7,5.7,6.7,6.5,2,3,2
2.3,3,2.1,2.6,4.7,6.9,4.2,5.2,1,2,2
1.8,2.3,2.8,2.9,6.5,3.7,5.6,3.9,1,1,2
3,2.6,2.7,3.4,5.8,6.6,6.4,5.8,2,2,2
1.9,1.6,1.5,3.2,3.5,5.2,3.9,4.7,1,1,2
2.7,2.9,2.5,2,5.2,4.5,6.6,6.3,2,3,2
3.4,2.1,3.3,1.1,6.9,6.4,5.3,4.4,2,3,2
2.1,1.1,1.6,2.7,4.1,4.1,4.3,5.3,1,2,2
1.6,3,3.4,3.3,3.5,6.8,6.9,3.8,1,1,2
1.3,1.8,2.2,1.6,5.4,5.6,5.7,4.6,2,2,2
3.5,1.3,2.4,1.4,4.6,3.5,3.5,6.2,1,3,2
2.4,3.4,1.2,2.8,6.4,5.8,5.9,3.7,2,1,2
1.1,2.8,3.3,3,3.7,4.7,4.6,5.6,2,2,2
3.3,1.4,2.1,1.2,6.6,6.7,6.3,4.3,1,1,2
1.7,1.2,3.5,3.5,4.5,3.5,4.5,6.7,2,3,2
2.2,2.2,1.9,1.3,5.9,6.2,6.1,3.6,2,2,2
1.4,3.5,2.7,1.9,3.5,4.6,3.5,4.9,1,3,2
3.2,2.4,1.4,3.1,6.8,5.3,5.8,6.6,1,1,2
2.9,1.7,2.9,2.4,4,6.5,4.8,5.1,2,2,2
1.2,1.5,1.7,2.5,5.6,3.6,6.5,3.5,1,3,2
2.8,2.3,3,3.5,3.8,4.3,5.2,6.4,2,1,2
2.6,3.4,2.4,2.2,6.1,6.1,4,4.1,2,3,2
1.7,2,1.8,1,5.3,3.5,6,5.9,1,2,2
2.7,1.6,1.1,2.3,3.5,5.1,5.5,4,1,1,2
1.3,2.7,2.8,1.8,6,4.8,3.5,6.8,2,2,2
